,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Target_Stock,Actual,Predicted
23,2024-12-30 09:54:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:29:00+00:00,-2.665476369937781,AAPL,"[np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003)]","[np.float64(-0.0004123994834728253), np.float64(-0.0003908055628752869), np.float64(-0.0009308136654046504), np.float64(2.0264395868099783e-05), np.float64(-0.0007803072910545731), np.float64(0.0005266013571996382)]"
24,2024-12-30 09:55:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:25:00+00:00,2024-12-30 10:30:00+00:00,-28.709183772228535,AAPL,"[np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05)]","[np.float64(-0.00015709685053089134), np.float64(-0.0007339366580135602), np.float64(9.927233022360719e-05), np.float64(-0.0010212344982415554), np.float64(0.0004276616835353658), np.float64(0.0019090542043314863)]"
25,2024-12-30 09:56:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:26:00+00:00,2024-12-30 10:31:00+00:00,-47.27155600198093,AAPL,"[np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05), np.float64(-0.00011785040868428354)]","[np.float64(-3.9280383381524e-05), np.float64(0.00040971642135335864), np.float64(-0.0022129629725971445), np.float64(0.000316247111817892), np.float64(0.0018447652447636095), np.float64(1.670590840634293e-05)]"
26,2024-12-30 09:57:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:27:00+00:00,2024-12-30 10:32:00+00:00,-38.50799218663777,AAPL,"[np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05), np.float64(-0.00011785040868428354), np.float64(1.9640770311468714e-05)]","[np.float64(-1.9640770311469635e-05), np.float64(-0.0020470209408966367), np.float64(-0.00011203560861883021), np.float64(0.0015951561985586924), np.float64(0.0001242102281324773), np.float64(-0.00040514647524173307)]"
27,2024-12-30 09:58:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:28:00+00:00,2024-12-30 10:33:00+00:00,-20.375496680029556,AAPL,"[np.float64(-0.00029462891701292904), np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05), np.float64(-0.00011785040868428354), np.float64(1.9640770311468714e-05), np.float64(9.821928445319372e-05)]","[np.float64(-0.00029462891701292877), np.float64(-0.00028609532529773335), np.float64(0.0009892052297824157), np.float64(-0.00044317072426376143), np.float64(-0.0005481427856871056), np.float64(-0.0011073262806064028)]"
28,2024-12-30 09:59:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:29:00+00:00,2024-12-30 10:34:00+00:00,-66.26985294339867,AAPL,"[np.float64(-0.00013750429722581003), np.float64(-9.819806557764821e-05), np.float64(-0.00011785040868428354), np.float64(1.9640770311468714e-05), np.float64(9.821928445319372e-05), np.float64(3.9288871432674455e-05)]","[np.float64(-0.00013750429722580895), np.float64(0.0011802326944781478), np.float64(-0.0003550537337110604), np.float64(-0.000489237450770267), np.float64(-0.0010924274497407702), np.float64(-0.000430349237904442)]"
29,2024-12-30 10:00:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:30:00+00:00,2024-12-30 10:35:00+00:00,-70.1112359786881,AAPL,"[np.float64(-9.819806557764821e-05), np.float64(-0.00011785040868428354), np.float64(1.9640770311468714e-05), np.float64(9.821928445319372e-05), np.float64(3.9288871432674455e-05), np.float64(-0.00019642506446970742)]","[np.float64(-9.81980655776481e-05), np.float64(-0.001160798424079804), np.float64(-0.0005866746000738206), np.float64(-0.0012267267968842032), np.float64(-0.0009682635204255024), np.float64(-0.0010978346796619762)]"
30,2024-12-30 10:01:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:36:00+00:00,-12.10691789205996,AAPL,"[np.float64(-0.00011785040868428354), np.float64(1.9640770311468714e-05), np.float64(9.821928445319372e-05), np.float64(3.9288871432674455e-05), np.float64(-0.00019642506446970742)]","[np.float64(-0.0001178504086842831), np.float64(-0.00019797326044240923), np.float64(-0.000736798035216046), np.float64(7.742710482776146e-05), np.float64(-0.0003908229008290631)]"
31,2024-12-30 10:02:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:37:00+00:00,-20.548843487546566,AAPL,"[np.float64(1.9640770311468714e-05), np.float64(9.821928445319372e-05), np.float64(3.9288871432674455e-05), np.float64(-0.00019642506446970742), np.float64(-0.00021606969313747726)]","[np.float64(1.9640770311467846e-05), np.float64(-0.0005645276140635092), np.float64(0.00022647842387289805), np.float64(-0.00030461515361672226), np.float64(0.0009829825527544191)]"
32,2024-12-30 10:03:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:38:00+00:00,-3.632438506525361,AAPL,"[np.float64(9.821928445319372e-05), np.float64(3.9288871432674455e-05), np.float64(-0.00019642506446970742), np.float64(-0.00021606969313747726), np.float64(-1.9643085143350447e-05)]","[np.float64(9.82192844531934e-05), np.float64(0.00041350591353577534), np.float64(-0.0002657101115201931), np.float64(0.00029101161508253247), np.float64(-0.0001393828847742303)]"
