ts_event,action,side,depth,price,midprice,size,aOF1,aOF2,aOF3,aOF4,aOF5,bOF1,bOF2,bOF3,bOF4,bOF5,ask_sz_01,ask_sz_02,ask_sz_03,ask_sz_04,ask_sz_05,bid_sz_01,bid_sz_02,bid_sz_03,bid_sz_04,bid_sz_05,event_num,symbol,returns,midprice_delta,OFI1,OFI2,OFI3,OFI4,OFI5,ofi1,ofi2,ofi3,ofi4,ofi5,ofiI
2024-12-31 23:28:00+00:00,C,A,0,402.49,402.45500000000004,-24.0,-147.0,-146.0,-101.0,-101.0,-3.0,-11.0,-1.0,-2.0,-1.0,-10.0,1612,1436,1112,525,76,181,50,37,88,163,23,TSLA,9.939493342514538e-05,0.04000000000007731,136.0,145.0,99.0,100.0,-7.0,5.924242424242425,6.316287878787879,4.3125,4.356060606060606,-0.30492424242424243,0.5555148243860355
2024-12-31 23:29:00+00:00,C,A,1,402.44,402.4,13.0,145.0,1.0,100.0,1.0,2.0,-1.0,-2.0,-1.0,-10.0,-5.0,1963,1593,1314,433,100,152,57,66,131,181,27,TSLA,-0.000136670580627829,-0.055000000000063665,-146.0,-3.0,-101.0,-11.0,-7.0,-6.580968280467445,-0.1352253756260434,-4.552587646076795,-0.49582637729549245,-0.3155258764607679,-0.22014552837467083
2024-12-31 23:30:00+00:00,C,A,0,402.39,402.35,-5.0,-176.0,-16.0,-100.0,-1.0,-2.0,11.0,0.0,0.0,0.0,0.0,2447,2123,2201,1518,474,631,221,269,180,167,38,TSLA,-0.0001242621933874588,-0.049999999999954525,187.0,16.0,100.0,1.0,2.0,6.945557619001076,0.5942723096471509,3.7142019352946933,0.037142019352946934,0.07428403870589387,0.33344565059807035
2024-12-31 23:31:00+00:00,C,A,0,402.33,402.175,-9.0,46.0,-89.0,61.0,-113.0,-36.0,-279.0,-948.0,-948.0,-847.0,-942.0,4059,5270,7988,6017,7465,28568,15266,11742,21413,8397,138,TSLA,-0.0004350393157706023,-0.17500000000001137,-325.0,-859.0,-1009.0,-734.0,-906.0,-3.860222920342557,-10.20286611869002,-11.98450746654043,-8.718164995481343,-10.761113741016482,-1.0175338158440033
2024-12-31 23:32:00+00:00,A,B,0,402.02,402.08,-1.0,-10.0,310.0,0.0,0.0,0.0,11.0,643.0,1.0,9.0,100.0,3911,3091,4046,1536,1854,12016,20916,2303,2566,3348,50,TSLA,-0.00023624348108963744,-0.09500000000002728,21.0,333.0,1.0,9.0,100.0,0.1888930865130336,2.995304657563819,0.00899490888157303,0.08095417993415727,0.8994908881573029,0.164238420018825
2024-12-31 23:33:00+00:00,C,A,1,402.2,402.105,6.0,-90.0,-320.0,-135.0,-1.0,-100.0,0.0,0.0,0.0,0.0,0.0,1150,2180,812,206,602,400,5544,8,72,800,8,TSLA,6.217474836756054e-05,0.025000000000034106,90.0,320.0,135.0,1.0,100.0,0.6115169016476982,2.174282316969594,0.9172753524715475,0.006794632240529981,0.6794632240529981,0.1696729973412956
2024-12-31 23:34:00+00:00,A,A,0,402.12,402.075,42.0,-31.0,307.0,135.0,1.0,100.0,-62.0,-698.0,-51.0,-704.0,-2.0,7666,3643,4546,2765,2151,12291,13769,5226,3925,5098,51,TSLA,-7.461016193843761e-05,-0.03000000000002956,-31.0,-1005.0,-186.0,-705.0,-102.0,-0.2588408644400786,-8.39145383104126,-1.5530451866404718,-5.886542239685658,-0.8516699410609039,-0.3392707742509043
2024-12-31 23:35:00+00:00,A,A,0,402.2,402.265,-47.0,-331.0,-465.0,-136.0,-101.0,-101.0,60.0,851.0,652.0,603.0,11.0,1960,7012,3403,327,2017,705,8215,9374,4430,110,30,TSLA,0.00047243703790478264,0.18999999999999773,391.0,1316.0,788.0,704.0,112.0,3.1235853327297423,10.513141426783479,6.295102921204697,5.624051340771709,0.8947354405773175,0.6971429263216902
2024-12-31 23:36:00+00:00,C,A,0,402.19,402.26,14.0,-10.0,-310.0,-135.0,-1.0,-100.0,-10.0,-100.0,-50.0,-601.0,-1.0,3717,2018,1833,1081,326,1470,1400,8764,4221,21,21,TSLA,-1.2429694541182812e-05,-0.0049999999999954525,0.0,210.0,85.0,-600.0,99.0,0.0,1.7745764757957427,0.718280954488753,-5.07021850227355,0.8365860528751359,0.02296240742089868
2024-12-31 23:37:00+00:00,A,B,0,402.12,402.155,-9.0,277.0,135.0,1.0,100.0,1.0,38.0,116.0,157.0,658.0,602.0,4895,701,2605,526,57,363,1070,2498,6185,8995,31,TSLA,-0.00026105928058584027,-0.10500000000001819,-239.0,-19.0,156.0,558.0,601.0,-2.656031546872199,-0.21114895142498655,1.7336440222262055,6.201111310270658,6.678974726653522,0.34490788812274764
2024-12-31 23:38:00+00:00,C,A,0,402.13,402.08,-3.0,190.0,277.0,135.0,1.0,100.0,-65.0,-67.0,-752.0,-653.0,-603.0,5104,9803,8072,2254,2917,3904,14758,8726,3078,626,46,TSLA,-0.00018651264920688249,-0.07499999999998863,-255.0,-344.0,-887.0,-654.0,-703.0,-1.9800141791296717,-2.671077951453361,-6.887343438776544,-5.0781540123561,-5.458627325208468,-0.46012830552639966
2024-12-31 23:39:00+00:00,A,B,6,401.9,402.075,3.0,10.0,-190.0,-277.0,-135.0,-1.0,-393.0,-1011.0,-1.0,-1.0,-9.0,10855,19499,18778,11270,6227,23190,33560,5278,4151,3428,106,TSLA,-1.2435413570877074e-05,-0.0049999999999954525,-403.0,-821.0,276.0,134.0,-8.0,-3.135588243929651,-6.3878857277078,2.1474500132123664,1.0426025426465837,-0.06224492791919903,-0.08354701367170123
2024-12-31 23:40:00+00:00,A,B,1,402.08,402.115,-8.0,28.0,18.0,0.0,0.0,0.0,7.0,667.0,663.0,2.0,10.0,8990,12865,9603,4999,3880,20585,8658,868,2093,3758,63,TSLA,9.947897893081148e-05,0.040000000000020464,-21.0,649.0,663.0,2.0,10.0,-0.17339676797861048,5.3587858294342,5.474383674753273,0.016513977902724807,0.08256988951362404,0.3246008484713161
2024-12-31 23:41:00+00:00,A,A,0,402.1,402.085,30.0,-228.0,-277.0,-135.0,-1.0,-100.0,146.0,197.0,207.0,0.0,0.0,20003,18784,8744,6711,4027,22526,19910,14912,13071,6613,96,TSLA,-7.460830642624927e-05,-0.03000000000002956,374.0,474.0,342.0,1.0,100.0,2.6536389235851914,3.363168047538451,2.426589603920148,0.007095291239532597,0.7095291239532597,0.28271542329492266
2024-12-31 23:42:00+00:00,C,A,1,402.14,402.075,-15.0,-10.0,0.0,0.0,0.0,0.0,-51.0,-930.0,-871.0,-2.0,-10.0,7079,6094,4318,4519,1081,12247,11997,7226,2761,3183,42,TSLA,-2.4870672504562208e-05,-0.009999999999990905,-41.0,-930.0,-871.0,-2.0,-10.0,-0.28460457813403855,-6.455664821089167,-6.0461118915792085,-0.013883150152879928,-0.06941575076439964,-0.2439625480722686
2024-12-31 23:43:00+00:00,C,A,0,402.06,402.075,-15.0,-140.0,-277.0,-135.0,-1.0,-100.0,0.0,-10.0,0.0,0.0,0.0,7507,9282,4360,2107,2652,16760,17045,7633,179,1870,43,TSLA,0.0,0.0,140.0,267.0,135.0,1.0,100.0,0.867497658332733,1.6544419626774263,0.8365155991065639,0.006196411845233806,0.6196411845233807,0.15984864985356995
2024-12-31 23:44:00+00:00,T,N,0,402.09,402.105,-1.0,-140.0,-277.0,-135.0,-1.0,-100.0,-30.0,963.0,-965.0,0.0,8.0,3884,2728,552,1204,412,3969,7791,1954,1978,476,16,TSLA,7.461016193843761e-05,0.03000000000002956,110.0,1240.0,-830.0,1.0,108.0,0.7054673721340388,7.952541285874618,-5.323071989738656,0.00641333974667308,0.6926406926406926,0.1580181796460044
2024-12-31 23:45:00+00:00,A,B,0,402.08,402.095,2.0,140.0,277.0,135.0,1.0,100.0,10.0,5.0,970.0,1.0,1.0,4890,7321,3388,758,2307,1030,225,14623,14565,30,30,TSLA,-2.4869435464758283e-05,-0.009999999999990905,-130.0,-272.0,835.0,0.0,-99.0,-0.7936992490384027,-1.6606630441418888,5.097991330362048,0.0,-0.6044325050369375,0.11749267990125711
2024-12-31 23:46:00+00:00,C,A,0,402.09,402.055,4.0,60.0,152.0,277.0,135.0,1.0,-2.0,-5.0,-970.0,-1.0,-1.0,6183,8574,10247,9738,4961,1594,28613,23368,6086,5276,66,TSLA,-9.948392720993127e-05,-0.040000000000020464,-62.0,-157.0,-1247.0,-136.0,-2.0,-0.3910550458715596,-0.9902522935779815,-7.8652522935779805,-0.8577981651376146,-0.012614678899082568,-0.17939397488430278
2024-12-31 23:47:00+00:00,A,A,0,402.12,402.085,13.0,-4.0,-140.0,-327.0,-135.0,-1.0,-10.0,-100.0,0.0,0.0,0.0,5876,7557,4133,1926,1617,1402,10837,8804,9303,6077,33,TSLA,7.461387324081414e-05,0.029999999999972715,-6.0,40.0,327.0,135.0,1.0,-0.034415629562678164,0.22943753041785442,1.8756518111659597,0.7743516651602587,0.00573593826044636,0.13446991624756047
2024-12-31 23:48:00+00:00,A,B,3,402.0,402.04999999999995,-15.0,53.0,193.0,467.0,462.0,136.0,0.0,0.0,-20.0,0.0,0.0,6390,6368,5449,5227,2422,2165,1995,20730,8865,7268,40,TSLA,-8.705006005715887e-05,-0.03500000000002501,-53.0,-193.0,-487.0,-462.0,-136.0,-0.3169903856217946,-1.1543234797171011,-2.912722977317245,-2.7631992105145113,-0.8134092914068691,-0.12542430905105312
2024-12-31 23:49:00+00:00,C,A,0,402.08,402.08,14.0,-393.0,-520.0,-602.0,-463.0,-236.0,-100.0,-55.0,-975.0,-1.0,-1.0,9416,11940,11369,6209,2248,4672,30341,28639,4988,1270,64,TSLA,7.461480112347374e-05,0.03000000000002956,293.0,465.0,-373.0,462.0,235.0,1.687970330896914,2.6788607640514166,-2.1488496021315666,2.6615777913801173,1.3538328592517912,0.21139859250795898
2024-12-31 23:50:00+00:00,T,N,0,402.12,402.3,-14.0,-467.0,-462.0,-136.0,-101.0,-101.0,235.0,172.0,1132.0,1128.0,1027.0,11546,7571,4531,3664,954,3069,4054,20098,16648,7525,53,TSLA,0.0005470051604605786,0.22000000000002728,702.0,634.0,1268.0,1229.0,1128.0,4.670600050213406,4.218177253326638,8.436354506653275,8.176876726085863,7.5048958071805165,0.8497556187535085
2024-12-31 23:51:00+00:00,C,B,3,402.1,402.355,15.0,-135.0,-1.0,-100.0,-1.0,-2.0,-75.0,30.0,-75.0,-244.0,-235.0,6759,950,5009,68,163,3875,3032,4351,23855,20444,59,TSLA,0.00013670455061021158,0.05500000000000682,60.0,31.0,25.0,-243.0,-233.0,0.5167430590021312,0.2669839138177678,0.21530960791755466,-2.0928093889586314,-2.0066855457916097,-0.007768649067330608
2024-12-31 23:52:00+00:00,A,A,0,402.27,402.265,19.0,82.0,127.0,-34.0,100.0,-97.0,-150.0,0.0,-20.0,-5.0,-102.0,2499,3669,2078,1988,551,2994,488,2486,20842,19012,51,TSLA,-0.00022370808673688458,-0.09000000000003183,-232.0,-127.0,14.0,-105.0,-5.0,-2.090200858551063,-1.1442047803275215,0.12613281042980554,-0.9459960782235415,-0.045047432296359116,-0.030889947838642517
2024-12-31 23:53:00+00:00,A,A,1,402.49,402.345,-34.0,-200.0,-34.0,-100.0,-1.0,-2.0,-19.0,-100.0,-5.0,-5.0,-82.0,1893,2797,2134,1194,760,1415,752,1594,10930,20902,46,TSLA,0.00019885410388553737,0.08000000000004093,181.0,-66.0,95.0,-4.0,-80.0,1.8764508350048452,-0.6842306912172363,0.984877510085416,-0.04146852674043857,-0.8293705348087713,0.0963295152554893
2024-12-31 23:54:00+00:00,C,B,1,402.24,402.365,-3.0,-22.0,0.0,0.0,0.0,0.0,57.0,187.0,5.0,5.0,101.0,3447,3459,2975,2798,475,2905,3863,1347,2363,16833,55,TSLA,4.970734799858434e-05,0.01999999999998181,79.0,187.0,5.0,5.0,101.0,1.073767453354751,2.541702706042259,0.06795996540219942,0.06795996540219942,1.3727913011244284,0.186032757498343
